DateTime,Open,High,Low,Close,Delta,CumDelta
2025-03-05  20:30:00,5843.75,5844.50,5838.50,5843.25,-133,49584
2025-03-05  21:00:00,5843.50,5846.75,5839.50,5841.00,-8,49576
2025-03-05  21:30:00,5840.75,5844.75,5840.00,5840.75,-113,49463
2025-03-05  22:00:00,5841.00,5842.50,5838.75,5842.00,-29,49434
2025-03-05  22:30:00,5842.00,5847.25,5840.25,5846.50,137,49571
2025-03-05  23:00:00,5846.25,5850.00,5846.25,5847.25,893,50464
2025-03-05  23:30:00,5847.50,5850.00,5847.50,5849.25,1149,51613
2025-03-06  00:00:00,5849.00,5850.00,5848.00,5848.25,596,52209
2025-03-06  00:30:00,5848.00,5849.00,5842.75,5842.75,-87,52122
2025-03-06  01:00:00,5843.00,5848.50,5840.50,5847.75,238,52360
2025-03-06  01:30:00,5847.50,5849.50,5847.00,5848.25,139,52499
2025-03-06  02:00:00,5848.50,5850.00,5843.00,5843.25,923,53422
2025-03-06  02:30:00,5843.25,5846.00,5823.75,5824.50,-767,52655
2025-03-06  03:00:00,5824.50,5830.75,5810.75,5820.25,190,52845
2025-03-06  03:30:00,5820.00,5823.50,5801.25,5803.75,-697,52148
2025-03-06  04:00:00,5803.75,5813.50,5790.25,5791.25,-324,51824
2025-03-06  04:30:00,5791.25,5802.25,5786.25,5792.50,3,51827
2025-03-06  05:00:00,5792.50,5797.75,5782.25,5795.25,-31,51796
2025-03-06  05:30:00,5795.25,5795.50,5779.50,5781.50,348,52144
2025-03-06  06:00:00,5781.50,5788.00,5775.50,5784.00,889,53033
2025-03-06  06:30:00,5784.00,5797.25,5783.75,5796.75,461,53494
2025-03-06  07:00:00,5796.75,5797.75,5783.25,5792.75,199,53693
2025-03-06  07:30:00,5792.25,5793.75,5780.25,5784.75,-721,52972
2025-03-06  08:00:00,5785.00,5786.00,5769.25,5773.75,-1142,51830
2025-03-06  08:30:00,5774.50,5790.75,5772.00,5779.50,-704,51126
2025-03-06  09:00:00,5779.50,5788.75,5771.25,5773.75,-958,50168
2025-03-06  09:30:00,5773.75,5779.00,5753.25,5763.25,-273,49895
2025-03-06  10:00:00,5763.50,5806.50,5759.75,5803.75,16245,66140
2025-03-06  10:30:00,5803.75,5820.00,5793.75,5806.50,2509,68649
2025-03-06  11:00:00,5806.75,5821.25,5790.25,5804.00,-895,67754
2025-03-06  11:30:00,5803.75,5820.25,5763.00,5764.25,-5016,62738
2025-03-06  12:00:00,5764.00,5768.75,5738.50,5744.50,-3862,58876
2025-03-06  12:30:00,5744.25,5756.25,5729.00,5749.50,306,59182
2025-03-06  13:00:00,5749.25,5760.25,5738.25,5744.00,-1322,57860
2025-03-06  13:30:00,5744.00,5750.25,5722.75,5740.00,2308,60168
2025-03-06  14:00:00,5740.00,5742.50,5720.00,5725.25,-1645,58523
2025-03-06  14:30:00,5725.00,5768.50,5720.25,5729.00,7022,65545
2025-03-06  15:00:00,5729.00,5755.00,5723.50,5749.25,3184,68729
2025-03-06  15:30:00,5749.25,5761.75,5734.50,5747.75,-510,68219
2025-03-06  16:00:00,5748.00,5761.50,5744.25,5758.25,2500,70719
2025-03-06  18:00:00,5766.00,5769.75,5761.50,5762.00,-41,70678
2025-03-06  18:30:00,5762.00,5766.25,5761.50,5764.75,-267,70411
2025-03-06  19:00:00,5765.00,5768.25,5756.25,5760.50,-597,69814
2025-03-06  19:30:00,5760.50,5769.75,5759.50,5763.75,-202,69612
2025-03-06  20:00:00,5764.00,5774.50,5761.25,5768.50,102,69714
2025-03-06  20:30:00,5768.50,5770.00,5766.00,5768.75,-50,69664
2025-03-06  21:00:00,5768.75,5774.50,5765.50,5766.50,-98,69566
2025-03-06  21:30:00,5766.50,5770.00,5763.25,5768.25,-32,69534
2025-03-06  22:00:00,5768.25,5769.00,5761.50,5765.00,-188,69346
2025-03-06  22:30:00,5765.25,5765.25,5760.75,5761.25,-399,68947
2025-03-06  23:00:00,5761.25,5765.50,5757.25,5760.25,-21,68926
2025-03-06  23:30:00,5760.25,5764.75,5760.25,5764.25,-54,68872
2025-03-07  00:00:00,5764.00,5764.75,5758.50,5761.25,-38,68834
2025-03-07  00:30:00,5761.50,5764.50,5754.50,5757.00,-182,68652
2025-03-07  01:00:00,5757.25,5757.75,5750.25,5753.25,-60,68592
2025-03-07  01:30:00,5753.75,5754.50,5750.00,5752.00,-185,68407
2025-03-07  02:00:00,5752.00,5763.00,5750.50,5760.50,368,68775
2025-03-07  02:30:00,5760.75,5764.25,5753.25,5762.25,-79,68696
2025-03-07  03:00:00,5762.50,5766.00,5758.00,5762.50,-788,67908
2025-03-07  03:30:00,5762.25,5766.50,5753.75,5760.25,-1268,66640
2025-03-07  04:00:00,5760.00,5773.25,5758.25,5768.50,98,66738
2025-03-07  04:30:00,5768.50,5772.25,5765.50,5767.75,-287,66451
2025-03-07  05:00:00,5768.00,5768.50,5756.50,5763.50,-9,66442
2025-03-07  05:30:00,5763.75,5767.25,5760.75,5763.50,-25,66417
2025-03-07  06:00:00,5763.50,5766.50,5758.00,5764.50,275,66692
2025-03-07  06:30:00,5764.50,5769.00,5762.00,5765.25,584,67276
2025-03-07  07:00:00,5765.00,5765.75,5752.50,5753.00,-597,66679
2025-03-07  07:30:00,5753.00,5756.50,5745.50,5751.50,1344,68023
2025-03-07  08:00:00,5751.25,5752.75,5742.25,5746.25,741,68764
2025-03-07  08:30:00,5746.00,5786.50,5729.25,5734.50,2400,71164
2025-03-07  09:00:00,5734.25,5744.25,5721.00,5726.00,86,71250
2025-03-07  09:30:00,5726.25,5778.00,5724.50,5756.25,-595,70655
2025-03-07  10:00:00,5756.25,5768.00,5734.50,5740.75,-4393,66262
2025-03-07  10:30:00,5740.75,5747.75,5701.25,5726.00,2138,68400
2025-03-07  11:00:00,5725.75,5729.75,5690.75,5693.25,-1756,66644
2025-03-07  11:30:00,5693.50,5697.25,5673.00,5687.75,-5423,61221
2025-03-07  12:00:00,5687.75,5703.50,5674.50,5697.50,912,62133
2025-03-07  12:30:00,5697.50,5747.75,5690.75,5718.50,-92,62041
2025-03-07  13:00:00,5718.50,5759.75,5718.00,5742.75,-56,61985
2025-03-07  13:30:00,5743.00,5770.00,5739.25,5769.75,1438,63423
2025-03-07  14:00:00,5769.75,5790.25,5758.25,5783.25,5120,68543
2025-03-07  14:30:00,5783.25,5789.00,5763.75,5769.00,-799,67744
2025-03-07  15:00:00,5769.00,5784.50,5763.00,5776.75,3397,71141
2025-03-07  15:30:00,5776.75,5791.00,5745.25,5775.00,4483,75624
2025-03-07  16:00:00,5775.25,5776.25,5760.25,5773.75,966,76590
2025-03-09  18:00:00,5753.00,5756.25,5722.75,5733.50,549,77139
2025-03-09  18:30:00,5733.50,5741.50,5727.50,5728.00,-340,76799
2025-03-09  19:00:00,5728.00,5738.00,5710.50,5735.75,-136,76663
2025-03-09  19:30:00,5735.75,5737.25,5728.25,5733.25,-100,76563
2025-03-09  20:00:00,5733.50,5739.75,5726.25,5729.25,111,76674
2025-03-09  20:30:00,5729.00,5738.75,5728.00,5738.25,-460,76214
2025-03-09  21:00:00,5738.75,5745.25,5737.50,5740.75,-377,75837
2025-03-09  21:30:00,5740.50,5752.50,5740.50,5752.00,-52,75785
2025-03-09  22:00:00,5751.75,5753.00,5748.25,5749.50,-167,75618
2025-03-09  22:30:00,5749.25,5755.25,5748.00,5752.25,157,75775
2025-03-09  23:00:00,5752.25,5754.00,5744.50,5745.00,-230,75545
2025-03-09  23:30:00,5745.25,5754.75,5744.50,5750.50,77,75622
2025-03-10  00:00:00,5750.50,5757.75,5749.75,5756.00,280,75902
2025-03-10  00:30:00,5756.00,5756.25,5745.00,5745.50,-292,75610
2025-03-10  01:00:00,5745.75,5752.75,5745.75,5751.75,238,75848
2025-03-10  01:30:00,5751.75,5752.50,5741.25,5743.50,-146,75702
2025-03-10  02:00:00,5743.75,5752.00,5743.75,5749.25,242,75944
2025-03-10  02:30:00,5749.25,5751.50,5747.00,5748.25,-168,75776
2025-03-10  03:00:00,5748.00,5754.00,5742.25,5744.25,-128,75648
2025-03-10  03:30:00,5744.00,5750.75,5742.25,5743.25,-239,75409
2025-03-10  04:00:00,5743.50,5748.25,5725.00,5732.25,-889,74520
2025-03-10  04:30:00,5732.50,5733.00,5703.00,5705.75,-2206,72314
2025-03-10  05:00:00,5705.50,5725.00,5703.00,5720.75,875,73189
2025-03-10  05:30:00,5720.75,5731.50,5713.75,5718.50,268,73457
2025-03-10  06:00:00,5719.00,5725.00,5711.75,5713.50,438,73895
2025-03-10  06:30:00,5713.50,5718.75,5706.00,5709.00,144,74039
2025-03-10  07:00:00,5709.00,5723.25,5703.50,5720.25,477,74516
2025-03-10  07:30:00,5720.25,5721.50,5701.75,5706.50,-687,73829
2025-03-10  08:00:00,5706.75,5707.50,5691.50,5693.75,-1369,72460
2025-03-10  08:30:00,5693.75,5702.00,5687.25,5701.00,404,72864
2025-03-10  09:00:00,5701.25,5706.75,5690.25,5691.25,-83,72781
2025-03-10  09:30:00,5691.25,5711.25,5679.25,5689.25,-2564,70217
2025-03-10  10:00:00,5689.50,5689.50,5667.25,5670.75,-9493,60724
2025-03-10  10:30:00,5671.00,5676.25,5646.50,5655.00,-4168,56556
2025-03-10  11:00:00,5655.00,5670.00,5655.00,5667.00,-450,56106
2025-03-10  11:30:00,5667.25,5682.00,5651.75,5653.75,-2168,53938
2025-03-10  12:00:00,5653.75,5661.25,5640.00,5653.25,-912,53026
2025-03-10  12:30:00,5653.25,5667.00,5642.25,5645.75,904,53930
2025-03-10  13:00:00,5645.75,5647.25,5626.50,5634.75,-1715,52215
2025-03-10  13:30:00,5634.75,5635.50,5616.75,5619.75,1097,53312
2025-03-10  14:00:00,5619.75,5631.25,5610.00,5614.00,209,53521
2025-03-10  14:30:00,5614.00,5620.75,5586.25,5588.75,-2833,50688
2025-03-10  15:00:00,5588.75,5629.00,5571.50,5612.75,-153,50535
2025-03-10  15:30:00,5612.75,5641.00,5606.50,5623.50,-4547,45988
2025-03-10  16:00:00,5623.50,5627.00,5613.50,5625.50,1086,47074
2025-03-10  18:00:00,5622.00,5625.75,5605.50,5618.75,-460,46614
2025-03-10  18:30:00,5618.75,5624.75,5611.00,5611.25,-584,46030
2025-03-10  19:00:00,5611.25,5615.25,5592.50,5599.75,-642,45388
2025-03-10  19:30:00,5600.00,5605.75,5584.00,5602.00,536,45924
2025-03-10  20:00:00,5602.25,5607.25,5593.25,5600.00,-70,45854
2025-03-10  20:30:00,5600.00,5601.00,5558.75,5573.50,-1636,44218
2025-03-10  21:00:00,5573.50,5577.50,5558.00,5575.00,-426,43792
2025-03-10  21:30:00,5575.25,5589.25,5574.75,5586.50,-414,43378
2025-03-10  22:00:00,5586.50,5620.75,5584.50,5612.50,83,43461
2025-03-10  22:30:00,5612.25,5617.00,5605.50,5613.50,-232,43229
2025-03-10  23:00:00,5613.75,5637.00,5613.75,5626.75,-22,43207
2025-03-10  23:30:00,5627.25,5631.00,5622.75,5624.00,-105,43102
2025-03-11  00:00:00,5624.00,5637.25,5620.00,5637.00,-81,43021
2025-03-11  00:30:00,5636.75,5637.50,5629.25,5630.50,-147,42874
2025-03-11  01:00:00,5630.25,5636.00,5627.00,5633.25,14,42888
2025-03-11  01:30:00,5633.50,5636.75,5625.75,5633.75,23,42911
2025-03-11  02:00:00,5633.50,5639.00,5627.75,5634.75,-337,42574
2025-03-11  02:30:00,5635.00,5638.50,5629.00,5630.00,-120,42454
2025-03-11  03:00:00,5630.00,5633.25,5626.00,5628.50,135,42589
2025-03-11  03:30:00,5628.50,5636.50,5615.50,5633.50,160,42749
2025-03-11  04:00:00,5633.75,5643.75,5629.25,5643.50,2374,45123
2025-03-11  04:30:00,5643.25,5644.00,5637.25,5644.00,512,45635
2025-03-11  05:00:00,5643.75,5647.00,5637.75,5645.00,1087,46722
2025-03-11  05:30:00,5644.75,5645.00,5637.75,5640.75,816,47538
2025-03-11  06:00:00,5640.75,5644.75,5632.00,5643.25,-132,47406
2025-03-11  06:30:00,5643.25,5644.75,5635.50,5639.50,14,47420
2025-03-11  07:00:00,5639.50,5641.75,5626.50,5639.25,329,47749
2025-03-11  07:30:00,5639.00,5651.00,5638.25,5651.00,1609,49358
2025-03-11  08:00:00,5650.75,5651.75,5622.25,5633.50,-485,48873
2025-03-11  08:30:00,5633.50,5633.50,5616.25,5619.25,-899,47974
2025-03-11  09:00:00,5619.25,5626.25,5607.00,5609.25,-2740,45234
2025-03-11  09:30:00,5609.00,5632.50,5597.50,5613.25,2916,48150
2025-03-11  10:00:00,5613.25,5635.75,5571.00,5574.25,-6631,41519
2025-03-11  10:30:00,5574.25,5587.00,5554.50,5562.75,1494,43013
2025-03-11  11:00:00,5562.50,5603.75,5556.25,5586.00,3713,46726
2025-03-11  11:30:00,5585.75,5614.75,5582.75,5586.50,-120,46606
2025-03-11  12:00:00,5586.25,5591.25,5561.50,5573.25,-905,45701
2025-03-11  12:30:00,5573.00,5583.75,5550.00,5557.25,-1416,44285
2025-03-11  13:00:00,5557.25,5558.00,5534.00,5536.25,-2555,41730
2025-03-11  13:30:00,5536.00,5568.50,5534.75,5557.25,2677,44407
2025-03-11  14:00:00,5557.25,5608.25,5555.75,5599.25,3320,47727
2025-03-11  14:30:00,5599.25,5643.75,5587.75,5630.25,2164,49891
2025-03-11  15:00:00,5630.25,5641.00,5600.50,5610.75,-508,49383
